id_stat,name_stat,type_stat,region,provinsi,kabupaten,lintang_derajat,bujur_derajat
11010101a,Bakongan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.95,97.47
11010201a,Kluet Utara,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.59,97.0
11010301a,Kluet Selatan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.03,97.38
11010401a,Labuhan Haji,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.54,97.01
11010501a,Meukek,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.5432099999999997,97.1523
11010601a,Sama Dua,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.32,97.14
11010701a,Sawang,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.39,97.11
11010801a,Tapak Tuan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.27,97.21
11010901a,Trumon,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.88,97.67
11011001a,Pasie Raja,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.25,97.28
11011101a,Labuhan Haji Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.52,97.03
11011301a,Kluet Tengah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.51,97.35
11011401a,Kluet Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.23,97.43
11011501a,Bakongan Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.91,97.55
11011601a,Trumon Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.82,97.76
11100101a,Pulau Banyak,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.19,97.28
11100201a,Simpang Kanan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.45,98.04
11100401a,Singkil,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.29,97.85
11101001a,Singkil Utara,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.28,97.94
11101101a,Danau Paris,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.47,97.85
11101201a,Suro Baru/Makmur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.54,98.05
11101301a,Singkohor,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.53,97.94
11101401a,Kuala Baru,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.37,97.75
11110501a,Kota Baharu,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.43,97.82
11100402g,AWS MES Singkil,aws,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.2753,97.9548
11100601a,Gunung Meriah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.29,98.14
11100901a,Kota Baharu,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.43,97.82
16020504h,AAWS OKI,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-4.4075,105.441
16020201a,Tanjung Lubuk,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.5300800000000003,104.7578
16020301a,Pedamaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.49606,104.8363
16020302a,Pedamaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.5007900000000003,104.8349
16020401a,P. Panggang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.89371,105.1027
16020503a,Kayu Agung 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.4075,104.9425
16020801a,Sp. Padang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.2671200000000002,104.87623
16021101a,Tulung Selapan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.4178599999999997,105.5263
16021201a,Pampangan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.2089999999999996,105.0124
16021301a,Lempuing Induk,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.8946699999999996,104.8839
